model,language,id,word,pos,context,gold_gloss,predicted_gloss,sbert_score
tiny-aya-global,Bengali,24354,বানুআটু,NOUN,দক্ষিণ পশ্চিম প্রশান্ত মহাসাগরে অবস্থিত একটি দেশ || বানুআটুতে প্রায় আশিটি দ্বীপসমষ্টি আছে,a volcanic island republic in Melanesia; independent since 1980,"An island nation in the southwestern Pacific Ocean, known for its approximately 80 island groups.",0.5949
tiny-aya-global,Bengali,3820,উদ্যোগ,NOUN,"কোনো বস্তুর উত্পাদনে ব্যস্ত লোকজন,কারখানা বা সংস্হা|| সরকার মহিলা উদ্যোগকে উত্সাহ দিচ্ছে","the people or companies engaged in a particular kind of commercial enterprise; ""each industry has its own trade publications""","Efforts or initiatives undertaken to produce goods, services, or establish businesses, often involving labor, machinery, or institutions.",0.527
tiny-aya-global,Bengali,875,বিজ্ঞাপন,NOUN,"বিক্রি করার জিনিস বা কোনো বিষয়ের সেই সূচনা যা সবাইকে বিশেষতঃ সাময়িক পত্র,রেডিয়ো,দূরদর্শন প্রভৃতির দ্বারা দেওয়া যায়|| আজকের সংবাদ-পত্র বিজ্ঞাপনে ভরা",a public promotion of some product or service,"Advertising refers to the promotion of a product, service, or event through various media such as newspapers, radio, television, and other platforms, aiming to inform, persuade, or remind the public of its existence.",0.6908
tiny-aya-global,Bengali,28033,কোটা,NOUN,একটি দ্রাবিড়ীয় ভাষা||দক্ষিণ ভারতের নীলগিরি পর্বতের অধিবাসীরা কোটার ভাষায় কথা বলে,a Dravidian language spoken by the Kota,A Dravidian language spoken by the Nilgiri people of southern India.,0.7242
tiny-aya-global,Bengali,5785,উপেক্ষা করা,VERB,কারওকে তুচ্ছ বা নগণ্য ভেবে তার দিকে মন না দেওয়া|| ও সমারোহে আমায় উপেক্ষা করল,"refuse to acknowledge; ""She cut him dead at the meeting""","to disregard or treat someone as unimportant, ignoring their presence or concerns.",0.2832
tiny-aya-global,Bengali,19031,কোরিয়ান,ADJECTIVE,কোরিয়া ভাষার বা কোরিয়া ভাষার সঙ্গে সম্পর্কিত|| কোরিয়ায় থাকা মনোহরণ কোরিয়ান সাহিত্যের আনন্দ লাভ করেছিল,"of or relating to or characteristic of Korea or its people or language; ""Korean handicrafts""","Korean, referring to the language spoken in Korea or related to Korean culture.",0.8307
tiny-aya-global,Bengali,8020,বংশবলী,NOUN,কোনও বংশের লোকেদের কালক্রমে তৈরি করা সূচি|| সূর্যবংশের বংশবলীতে রামের সকল পূর্বজদের নাম দেওয়া হয়েছে,successive generations of kin,A lineage or family tree detailing the ancestors of a particular lineage over time.,0.4263
tiny-aya-global,Bengali,4565,খারাপ,NOUN,হিতের বিপরীত কাজ|| কারোর অপকার করা উচিত নয়,the act of damaging something or someone,"To do harm or mischief to someone, acting against their benefit or well-being.",0.8032
tiny-aya-global,Bengali,25834,মানসা শহর,NOUN,পাঞ্জাব রাজ্যের একটি শহর || মানসা শহরে আয়োজিত মেলায় খুব ভিড় ছিল,"a large and densely populated urban area; may include several independent administrative districts; ""Ancient Troy was a great city""",A city in Punjab state.,0.4197
tiny-aya-global,Bengali,10063,সাংবিধানিক,ADJECTIVE,সংবিধান বা কোনো সংস্থার নিয়মের সঙ্গে সম্পর্কযুক্ত|| সাংবিধানিক নিয়ম পালন করা প্রত্যেক নাগরিকের কর্তব্য,"of or relating to a constitution; ""constitutional amendments""","Constitutional, relating to or conforming to the constitution or the rules of an organization; upholding constitutional norms is every citizen's duty.",0.6796
tiny-aya-global,Bengali,2572,সামন্তকালীন,ADJECTIVE,সামন্তদের সময়কার বা সেই সময়ের সঙ্গে সম্পর্কিত|| ভারতের সামন্তকালীন সমাজ ব্যবস্থায় সাধারণ মানুষের অবস্থা ভালো ছিল না,"characteristic of the time of chivalry and knighthood in the Middle Ages; ""chivalric rites""; ""the knightly years""",feudal,0.2628
tiny-aya-global,Bengali,11501,বর্ষিত হওয়া,VERB,উপর বা চতুর্দিক থেকে আসা বা পড়া|| আকাশবাণির সঙ্গে সঙ্গে ফুল বর্ষিত হল,"rain abundantly; ""Meteors showered down over half of Australia""",to fall or rain from above or around; to be showered,0.5275
tiny-aya-global,Bengali,800,গালিচা,NOUN,ফুল-ফলের নকশা করা এক ধরনের মোটা আচ্ছাদন || এটি বেশ দামী গালিচা,floor covering consisting of a piece of thick heavy fabric (usually with nap or pile),"A thick carpet with a pattern of flowers or fruits, often considered a luxury item.",0.5425
tiny-aya-global,Bengali,10904,ঋণ,NOUN,"কোনো এক ব্যক্তি বা সংস্থা দ্বারা অপর কোনো ব্যক্তি বা সংস্থাকে দেওয়া সেবা|| হিন্দু ধর্ম অনুসারে মাতৃ-ঋণ, পিতৃ-ঋণ, গুরু-ঋণ তথা দেব-ঋণ এই চারটি মূখ্য ঋণ",money or goods or services owed by one person to another,"A debt or obligation owed, particularly in the context of Hindu religious duties where one owes a debt to one's mother, father, guru, or god.",0.6086
tiny-aya-global,Bengali,21426,ব্রেল লিপি,NOUN,অন্ধদের জন্য তৈরী একটি লিপি|| ব্রেল লিপির জনক লুই ব্রেল নামক একজন অন্ধ শিক্ষক ছিলেন,a point system of writing in which patterns of raised dots represent letters and numerals,"a writing system designed for the visually impaired, invented by the blind teacher Louis Braille, consisting of raised dots arranged in a grid.",0.5446
tiny-aya-global,Bengali,26569,দোয়াঙ্গ নদী,NOUN,নাগাল্যাণ্ডের একটি প্রধান নদী||দোয়াঙ্গ ব্রহ্মপুত্র নদীর উপনদী,"a large natural stream of water (larger than a creek); ""the river was navigable for 50 miles""",A major tributary of the Brahmaputra River in Nagaland.,0.382
tiny-aya-global,Bengali,3656,সঙ্কট,NOUN,কোনো অনিষ্ট ঘটনা থেকে উত্পন্ন হওয়া সেই পরিস্থিতি যাতে বড় ক্ষতি হতে পারে|| সঙ্কটের সময় মাথা কাজ করা বন্ধ করে দেয়,"an unstable situation of extreme danger or difficulty; ""they went bankrupt during the economic crisis""","A critical situation or state arising from adverse events, characterized by potential for significant harm, often accompanied by a sense of helplessness or mental exhaustion.",0.6001
tiny-aya-global,Bengali,20193,প্যারিস,NOUN,ফ্রান্সের সবচেয়ে বড়ো শহর||প্যারিস ফ্রান্সের রাজধানী,the capital and largest city of France; and international center of culture and commerce,"The English definition of the Bengali word ""প্যারিস"" (Paris) is: The capital and largest city of France, renowned for its cultural, historical, and artistic significance.",0.6424
tiny-aya-global,Bengali,20536,বেলাডোনা,NOUN,বেলাডোনার রস যা ওষুধের মতো খাওয়া হয় বা পীড়িত স্থানে লাগানো হয়||বেলাডোনা হোমিওপ্যাথীর উত্তম ওষুধগুলির মধ্যে একটি।,an alkaloidal extract or tincture of the poisonous belladonna plant that is used medicinally,"Belladonna, commonly known as deadly nightshade, is a poisonous plant whose berries and leaves are used in traditional medicine and homeopathy for their therapeutic properties. It is applied topically for treating wounds or pain and is considered one of the most potent remedies in homeopathy.",0.7853
tiny-aya-global,Bengali,26884,গথিক ভাষায়,ADJECTIVE,গথিক ভাষার বা গথিক ভাষার সঙ্গে সম্পর্কিত|| গথিক ভাষায় বাইবেলও লেখা হয়েছে,"of or relating to the language of the ancient Goths; ""the Gothic Bible translation""",Gothic language,0.5583
tiny-aya-global,Bengali,15605,শায়িত,ADJECTIVE,শুয়ে থাকা|| পথে শায়িত ব্যক্তি মারা গেলেন,lying down; in a position of comfort or rest,lying down,0.419
tiny-aya-global,Bengali,17169,কুঁদরু,NOUN,এক প্রকার লতা||কুঁদরুতে পটলের আকারের ফল হয়,any vine of the family Cucurbitaceae that bears fruits with hard rinds,A type of vine; the fruit of the Kudur is about the size of a pot.,0.6032
tiny-aya-global,Bengali,12820,যাচাই করা,VERB,যাচাই করার কাজ হওয়া|| পনেরোটা খাতা দেখা হয়েছে,"be verified or confirmed; pass inspection; ""These stories don' t check!""",to verify or check something,0.3097
tiny-aya-global,Bengali,34574,গদি,NOUN,সেই স্থান বা পদ যেটির কোনও আধিকারিকের দায়িত্ব থাকে||নেতা নিজের গদি ছাড়তে চান না।,"a job in an organization; ""he occupied a post in the treasury""","The seat or position of authority, particularly the office or throne held by a leader, often implying a refusal to relinquish power.",0.3939
tiny-aya-global,Bengali,441,ডোসা,NOUN,একটি দক্ষিণ ভারতীয় ব্যাঞ্জন || সে সাদা দোসা খাচ্ছে,"a particular item of prepared food; ""she prepared a special dish for dinner""","A South Indian flatbread, often served as a breakfast item.",0.4657
tiny-aya-global,Bengali,35622,উপকাপ্তান,NOUN,কোনও খেলার দলের দ্বিতীয় প্রধান খেলোয়াড়||আজ উপকাপ্তানের প্রদর্শন অত্যন্ত ভালো ছিল,someone who engages in sports,"The captain of the team, serving as the second-in-command.",0.3333
tiny-aya-global,Bengali,14062,গ্যারাজ,NOUN,সেই স্থান যেখানে মোটর গাড়ি মেরামত করা হয় || এই গ্যারাজে কেবল দুচাকার গাড়িই মেরামত করা হয়,a repair shop where cars and trucks are serviced and repaired,"A garage is a place where motor vehicles, particularly cars, are repaired and maintained.",0.7059
tiny-aya-global,Bengali,92,সমঝোতা,NOUN,"লেনদেন,ঝগড়া,বিবাদ ইত্যাদি বিষয়ে জড়িত সব পক্ষের নিজেদের মধ্যে হওয়া নিষ্পত্তি|| কাশ্মীর প্রসঙ্গে ভারত ও পাকিস্তানের সমঝোতা করা আবশ্যক","an accommodation in which both sides make concessions; ""the newly elected congressmen rejected a compromise because they considered it `business as usual' ""","A settlement or agreement reached between parties involved in a transaction, dispute, or controversy, often to resolve differences or reach a mutually acceptable outcome.",0.4924
tiny-aya-global,Bengali,97,অভিজ্ঞতা,NOUN,কোনো কাজ বা প্রয়োগ করতে গিয়ে যে জ্ঞান লাভ করা যায়|| ওনার এই কাজের অভিজ্ঞতা আছে,"the accumulation of knowledge or skill that results from direct participation in events or activities; ""a man of experience""; ""experience is the best teacher""",Knowledge gained through practical experience or application of a skill or activity.,0.7785
tiny-aya-global,Bengali,4739,পুষ্পস্তবক,NOUN,একসাথে বাঁধা ফুলের গুচ্ছ|| ও পুষ্পস্তবক দিয়ে আমাকে অভ্যর্থনা জানালো,an arrangement of flowers that is usually given as a present,"A garland of flowers, typically tied together.",0.8063
tiny-aya-global,Bengali,12314,সহজভাবে,ADVERB,বিচলিত না হয়ে|| তুমি আমায় সহজভাবে আর পরিষ্কার করে বল যে কি হয়েছে,"in a forthright manner; candidly or frankly; ""he didn' t answer directly""; ""told me straight out""; ""came out flat for less work and more pay""",without difficulty,0.2086
tiny-aya-global,Bengali,3568,আলু,NOUN,এক প্রকার কন্দ যা সব্জি হিসেবে খাওয়া হয় || আলু হল এমন সব্জি যা বারো মাস বাজারে পাওয়া যায়,an edible tuber native to South America; a staple food of Ireland,"A type of root vegetable commonly consumed as a vegetable, widely available year-round.",0.5335
tiny-aya-global,Bengali,35971,হলুদ,NOUN,হলুদের শেকড়ের হলুদ চূর্ণ যা খাবারে ও পুজোয় কাজে লাগে||মা ডালে হলুদ দিতে ভুলে গেছে,ground dried rhizome of the turmeric plant used as seasoning,"Yellow color or pigment; also, a spice made from the root of the turmeric plant, used in cooking and religious ceremonies.",0.6226
tiny-aya-global,Bengali,9526,ছাঁচ,NOUN,"কাঠ, মোম, মাটি, ধাতু ইত্যাদির ছাঁচ যাতে ঢেলে জিনিস বানানো হয়||মাটি ছাঁচে ফেলে ইঁট তৈরী করা হয়","a mold for setting concrete; ""they built elaborate forms for pouring the foundation""","A mold or template used to shape or form objects by pouring or pressing material into it, such as wood, wax, clay, or metal.",0.6826
tiny-aya-global,Bengali,15117,আটপাল্লাইয়া,ADJECTIVE,আটটি পাল্লা বা পার্শ্বতলবিশিষ্ট|| শীলা আটপাল্লাইয়া বাক্সে জিনিস রাখছে,having eight sides,having eight sides or lateral divisions,0.5753
tiny-aya-global,Bengali,7089,সাম্যবাদ,NOUN,যে বাদ এটা প্রতিপাদিত করে যে সমাজে সবাইকে সমান অধিকার দেওয়া উচিত ও সবার থাকা-খাওয়া যেন এক স্তরের হয়||সাম্যবাদ দ্বারা প্রেম ও ভ্রাতৃত্ববোধ বাড়ে,a form of socialism that abolishes private ownership,"Socialism is a political and economic ideology that advocates for the establishment of a classless society where resources are distributed equitably, ensuring all individuals have equal rights and opportunities. It emphasizes collective ownership, community well-being, and the promotion of love and fraternity among people.",0.6734
tiny-aya-global,Bengali,4355,সঞ্চয়,NOUN,বাঁচানো বা বাঁচানোর কাজ বা ভাব|| ও টাকাপয়সা বাঁচিয়ে নিজের ভবিষ্যত্ তৈরী করতে চায়,"an act of economizing; reduction in cost; ""it was a small economy to walk to work every day""; ""there was a saving of 50 cents""","To save or to act in a way that preserves resources, often financial, with the intention of securing one's future.",0.3982
tiny-aya-global,Bengali,25161,মঙ্গলদাই,NOUN,আসামের একটি শহর || দরাঙ্গ জেলার প্রধান কার্যালয় মঙ্গলদাই শহরে অবস্থিত,"a large and densely populated urban area; may include several independent administrative districts; ""Ancient Troy was a great city""","The city of Moulvibazar, the district headquarters of Darang district in Assam.",0.1531
tiny-aya-global,Bengali,990,নাসারন্ধ্র,NOUN,নাকের সামনের অংশ যাতে দুটি ছিদ্র থাকে|| তার নাসারন্ধ্রে নাকছাবি শোভা পাচ্ছে,either one of the two external openings to the nasal cavity in the nose,"The anterior part of the nose containing two nostrils, where the nose ring is typically located.",0.828
tiny-aya-global,Bengali,24207,অবুজা,NOUN,নাইজিরিয়ার রাজধানী || অবুজায় সুন্দরী প্রতিযোগিতার আয়োজন করা হয়েছিল,capital of Nigeria in the center of the country,The capital of Nigeria,0.6279
tiny-aya-global,Bengali,28924,বাহুবন্ধনী,NOUN,হাতে পরার একপ্রকার গয়না||শীলা বাহুবন্ধনী পরে,a band worn around the arm for decoration,"A type of jewelry worn on the hand, often a silver or gold bracelet.",0.6097
tiny-aya-global,Bengali,173,হারমোনিয়াম,NOUN,সিন্দুককের আকারের একটা বাজনা যা আঙ্গুলের সাহায্যে বাজানো হয় || সে হারমোনিয়াম বাজাচ্ছিল,a free-reed instrument in which air is forced through the reeds by bellows,"A small, hourglass-shaped drum played with the fingers, often used in traditional music.",0.4329
tiny-aya-global,Bengali,28679,বীরমত্স্য,NOUN,একটি প্রাচীন জাতি||রামাযণে বীরমত্স্যের বর্ণনা পাওয়া যায়,(Hinduism) a Hindu caste or distinctive social group of which there are thousands throughout India; a special characteristic is often the exclusive occupation of its male members (such as barber or potter),"A legendary fish mentioned in the Ramayana, symbolizing bravery and valor.",0.2486
tiny-aya-global,Bengali,20966,দক্ষিণ কোরিয়ান বান,NOUN,দক্ষিণ কোরিয়ায় যে মুদ্রা চলে||এক দক্ষিণ কোরিয়ান বান প্রায় আট ইয়েনের সমান হয়,the basic unit of money in South Korea,"The South Korean won is the official currency of South Korea, where one won is approximately equal to eight yen.",0.7368
tiny-aya-global,Bengali,27591,পরিব্যক্ত প্রাণী,NOUN,সেই জীব যার মধ্যে ক্রোমোজম ঘটিত পরিবর্তনের কারণে বিশেষত্ব থাকে||ও পরিব্যক্ত প্রাণীদের সম্পর্কে অধ্যয়ন করছে,(biology) an organism that has characteristics resulting from chromosomal alteration,an organism whose chromosomes have undergone changes resulting in distinct characteristics,0.9275
tiny-aya-global,Bengali,35718,প্রশ্নাত্মক,ADJECTIVE,যে (বাক্য) পাঠক বা শ্রোতার কাছ থেকে উত্তরের প্রত্যাশা রাখে|| শিক্ষক ছাত্রদের কিছু প্রশ্নাত্মক বাক্য বানাতে বললেন,relating to the use of or having the nature of an interrogation,Questionative,0.5146
tiny-aya-global,Bengali,18071,লুখ,NOUN,"এক বড় চারা যা এশিয়া , ইউরোপ , আফ্রিকা ইত্যাদিতে পাওয়া যায়||লুখের পাতা থেকে চাটাই ইত্যাদি বানানো যায়","tall marsh plant with cylindrical seed heads that explode when mature shedding large quantities of down; its long flat leaves are used for making mats and chair seats; of North America, Europe, Asia and North Africa","A large leaf used in various cultures across Asia, Europe, Africa, and beyond, primarily for making mats and other items.",0.6521
tiny-aya-global,Bengali,30119,বিরুপাক্ষ,NOUN,একজন দিগ্গজ||পুরাণে বিরুপাক্ষের বর্ণনা পাওয়া যায়,an imaginary being of myth or fable,"A divine being or a celestial entity, often associated with the Purana in Hindu mythology.",0.5576
tiny-aya-global,Bengali,1760,পর্যবেক্ষক,NOUN,"কোনো ব্যবহার,কথা,কাজ প্রভৃতি বিষয়গুলিকে মনোযোগ সহকারে দেখে য ব্যক্তি|| এই কাজের দেখাশোনার জন্য একজন পর্যবেক্ষক আসছেন",one who supervises or has charge and direction of,"A person who attentively observes or examines a situation, action, or matter, often acting as a supervisor or evaluator.",0.6661
tiny-aya-global,Bengali,29571,মন্থরা,NOUN,কৈকেয়ীর একজন দাসী||রামের বনবাসে মন্থরার গুরুত্বপূর্ণ ভূমিকা ছিল,an imaginary being of myth or fable,"Mantra, a female servant of Kachchiyai, played a crucial role in Rama's exile.",0.2781
tiny-aya-global,Bengali,35475,রেজিস্ট্রি,NOUN,"ডাক দ্বারা পত্র পাঠানোর একটি ধরন যাতে একটু বেশি টাকা দিয়ে পাঠানো পত্রের ভার, ঠিকানা ইত্যাদি ডাকঘরের রেজিস্টারে নথিভুক্ত করা হয়||আমি ফর্ম ভরে রেজিস্ট্রি দ্বারা পাঠিয়ে দিয়েছি।",mail that is registered by the post office when sent in order to assure safe delivery,"A registered letter, typically sent via डाक (postal service), where the recipient's address and other details are officially recorded in the post office register, often at a higher cost than standard mail.",0.7283
tiny-aya-global,Bengali,20399,স্ট্যাম্প,NOUN,ক্রিকেট খেলায় ব্যবহৃত যেই তিনটি দন্ডের মধ্যে প্রত্যেকটি যার সামনে দাঁড়িয়ে ব্যাটসমান ব্যাট করে||বোলারের প্রথম বলই তিনটি স্ট্যাম্প ভেঙে দিয়েছিল,(cricket) any of three upright wooden posts that form the wicket,"The three stumps in cricket, each with a string attached, which are struck by the batsman when the ball is bowled. The first ball delivered by a bowler often results in all three stumps being broken.",0.7106
tiny-aya-global,Bengali,22396,সুপ্রতীক,NOUN,এক দিগ্গজ||সুপ্রতীক ইষান কোণের দিগ্গজ।,an imaginary being of myth or fable,A towering figure or a symbol of excellence.,0.487
tiny-aya-global,Bengali,25515,কামাঠী,NOUN,তেলেঙ্গানার একটি জাতি || ও কামাঠী জাতির মেয়ের সাথে ছেলের বিয়ে দিয়েছে,(Hinduism) a Hindu caste or distinctive social group of which there are thousands throughout India; a special characteristic is often the exclusive occupation of its male members (such as barber or potter),"A member of the Kamathi community in Telangana, known for their distinct cultural identity and traditional practices.",0.53
tiny-aya-global,Bengali,19757,নাটক,NOUN,এক ধরনের নাটক||এই নাটকে মোহনের অভিনয় খুব ভালো ছিল।,"a theatrical performance of a drama; ""the play lasted two hours""",A play or theatrical performance.,0.6888
tiny-aya-global,Bengali,27651,প্রথম,NOUN,কাজের শৃঙ্খলার মধ্যে প্রথম||সাতটি ম্যাচের শৃঙ্খলার মধ্যে প্রথমটিতেই আমরা হেরে গিয়েছি,the first of a series of actions,The first or initial part of a sequence or process.,0.7616
tiny-aya-global,Bengali,35930,কাতার,NOUN,এক আরবি দেশ||কাতার ১৯৭১ এ স্বাধীন হয়েছে,an Arab country on the peninsula of Qatar; achieved independence from the United Kingdom in 1971; the economy is dominated by oil,"A country in the Middle East, located in the Arabian Peninsula, known for its oil reserves and strategic location. Qatar gained independence in 1971.",0.9029
tiny-aya-global,Bengali,3874,সমস্যা,NOUN,সেই সমস্যাসংকুল বিচার্য্য বিষয় যা সহজে সমাধান করা সম্ভব নয়|| বেকারত্ব দেশের সামনে একটা বড়ো সমস্যা/আগে এই সমস্যাটা সমাধান করুন,"a source of difficulty; ""one trouble after another delayed the job""; ""what' s the problem?""","A difficult or complex issue that is challenging to resolve, often requiring significant effort or resources to address.",0.5193
tiny-aya-global,Bengali,30330,শিশুনাগ,NOUN,এক রাক্ষস||শিশুনাগের বর্ণনা পুরাণে পাওয়া যায়,one of the evil spirits of traditional Jewish and Christian belief,"child-e-god, a demon in Hindu mythology",0.4944
tiny-aya-global,Bengali,9718,ঝোপড়ি,NOUN,মাটি বা ঘাস ইত্যাদি দিয়ে তৈরি ঘর||এই নদীর ধারে মাঝিদের ঝোপড়ি আছে,small crude shelter used as a dwelling,"A small, temporary shelter or hut, typically made of mud, grass, or similar materials, often used by people like fishermen or others who live in remote areas.",0.7855
tiny-aya-global,Bengali,33001,জলীয়,ADJECTIVE,জল সম্পর্কিত বা জলের|| পৃথিবীর দুই-তৃতীয়াংশ ভাগ জলীয় ক্ষেত্র,"relating to or consisting of or being in water; ""an aquatic environment""",pertaining to or consisting of water,0.7717
tiny-aya-global,Bengali,381,উদ্ধৃতি চিহ্ন,NOUN,ব্যকরণের সেই শব্দ যার দ্বারা কোনো উক্তি প্রভৃতিকে দেখানো হয়|| এই লেখাটির মধ্যে কোথাও উদ্ধৃতি চিহ্নের ব্যবহার করা হয়নি,a punctuation mark used to attribute the enclosed text to someone else,"A punctuation mark used to enclose quoted material, indicating that the enclosed text is a direct or indirect quotation.",0.7892
tiny-aya-global,Bengali,8281,সহযাত্রী,NOUN,সাথে যাত্রা করেন যে ব্যাক্তি|| সহযাত্রী যদি চেনাজানা হহয় তাহলে যাত্রায় বেশ আনন্দ পাওয়া যায়,a traveler who accompanies you,"A person who travels with someone, especially if they are familiar, often enhancing the journey with shared experiences.",0.8108
tiny-aya-global,Bengali,23236,কৃত্রিম রুপে,ADVERB,প্রাকৃতিক রূপে না হয়ে কৃত্রিম রূপে|| এই অবস্হা কৃত্রিম ভাবে বানানো হয়েছে,"not according to nature; not by natural means; ""artificially induced conditions""",in an artificial manner,0.4517
